aba	阿巴	Aba	abaA
bangzhuang	棒状	Rod-shaped	bangzhuangR
bangzi	棒子	Stick	bangziS
bangzi	梆子	Gong	bangziG
bangzi	膀子	(slang	bangzi(
banhao	办好	Do well	banhaoD
banhen	斑痕	Scar	banhenS
banhen	瘢痕	Scar	banhenS
banhu	板胡	Erhu	banhuE
banhua	版画	Woodblock print	banhuaW
banhui	班会	Class meeting	banhuiC
banhui	搬回	Bring back	banhuiB
banhuo	拌和	Mix and stir	banhuoM
banian	八年	Eight years	banianE
banji	班级	Class	banjiC
banji	扳机	Trigger	banjiT
banjia	搬家	Move	banjiaM
banjia	半价	Half price	banjiaH
banjian	半件	Half a piece	banjianH
banjiang	颁奖	Award a prize	banjiangA
banjiao	半角	Half-tone	banjiaoH
banjie	半截	Half a piece	banjieH
banjie	板结	Compact	banjieC
banjin	搬进	Move in	banjinM
banjin	半斤	Half a Pound	banjinH
banjing	半径	Radius	banjingR
banjiu	斑鸠	Coot	banjiuC
banju	半句	Half a sentence	banjuH
banka	板卡	Card	bankaC
bankai	半开	Half-open	bankaiH
bankai	搬开	To move  away	bankaiT
banke	版刻	Carving	bankeC
bankong	半空	Half sky	bankongH
bankou	版口	Edition preface	bankouE
bankuai	板块	Plate	bankuaiPl
bankuai	半块	Half	bankuaiH
bankuai	斑块	Patch	bankuaiPa
banlan	斑斓	Brilliant	banlanB
banli	办理	Handle	banliHan
banli	班里	Class	banliCl
banli	板栗	Chinese chestnut	banliCh
banli	搬离	To leave	banliT
banli	半里	Half a Li	banliHal
banliang	半两	Half a tael	banliangH
banlie	班列	Train	banlieT
banling	斑羚	Goral	banlingG
banlu	半路	Halfway	banluH
banlv	伴侣	Partner	banlvP
banma	斑马	Zebra	banmaZ
banmao	斑蝥	Stick insect	banmaoS
banmian	版面	Page	banmianP
banmian	板面	Board	banmianB
banmo	瓣膜	Valve	banmoV
banmu	半亩	Half an Acre	banmuH
bannian	半年	Half a year	bannianH
banpai	半拍	Half beat	banpaiH
banping	半瓶	Half a bottle	banpingH
banpo	半坡	Banpo	banpoB
banqi	办起	To start	banqiT
banqian	搬迁	Move	banqianM
banqiang	板墙	Wallboard	banqiangW
banqiao	板桥	Plank Bridge	banqiaoP
banqiu	半球	Hemisphere	banqiuH
banquan	版权	Copyright	banquanC
banquan	半圈	Half a circle	banquanH
banren	半人	Half a person	banrenH
banri	半日	Half a day	banriH
banru	搬入	Move in	banruM
banshan	半山	Halfway	banshanH
banshang	半晌	A long moment	banshangA
banshang	班上	In class	banshangI
banshang	板上	On the board	banshangO
banshen	半身	Half-body	banshenH
bansheng	半生	Half a life	banshengH
bansheng	伴生	Accompanied by	banshengA
banshi	办事	Handle affairs	banshiHan
banshi	版式	Layout	banshiL
banshi	板式	Style	banshiS
banshi	班师	To retreat in defeat	banshiT
banshi	半世	Half a lifetime	banshiHal
banshou	扳手	Wrench	banshouW
banshou	颁授	Awarding	banshouA
banshu	半数	Half	banshuH
banshu	半熟	Semi-ripe	banshuS
banshua	板刷	Block broom	banshuaB
banshui	版税	Royalty	banshuiR
bansi	半死	half dead	bansih
bansui	伴随	Accompany	bansuiA
bantian	半天	Half a day	bantianH
bantiao	半条	Half a Thread	bantiaoH
bantong	伴同	Accompany	bantongA
bantou	半头	Half a Head	bantouH
bantu	版图	Map	bantuM
banwan	办完	Finished	banwanF
banwan	半碗	Half a bowl	banwanH
banwei	班委	Class monitor	banweiC
banwen	斑纹	Markings	banwenM
banwu	伴舞	Accompanied dance	banwuA
banxia	半夏	Pinellia ternata	banxiaP
banxiang	扮相	The appearance of an actor or actress in costume or makeup	banxiangT
banxiang	半箱	Half a box	banxiangH
banxiao	办校	Establishing a school	banxiaoE
banxie	板鞋	Court shoes	banxieC
banxing	板型	Board type	banxingB
banxing	颁行	Issue for enforcement	banxingI
banxue	办学	Run a school	banxueR
banxun	班训	Class Training	banxunC
banyan	扮演	Play	banyanP
banyan	板眼	Measure in traditional Chinese music	banyanM
banye	半夜	Midnight	banyeM
banyi	伴以	Companion	banyiC
banyin	伴音	Dubbing	banyinD
banyin	半音	Semitone	banyinS
banyou	伴有	Accompanied by	banyouA
banyuan	半圆	Semi-circle	banyuanS
banyue	半月	Half-month	banyueH
banyun	搬运	Carry	banyunC
banzai	半载	Half a century	banzaiH
banzai	板载	Online	banzaiO
banzhang	班长	Monitor	banzhangM
banzhe	伴着	Accompanied by	banzheA
banzhou	半轴	Axis	banzhouA
banzhou	半周	Half a week	banzhouH
banzhu	版主	Forum moderator	banzhuF
banzhu	斑竹	Spotted bamboo	banzhuS
banzhu	版筑	Construction	banzhuC
banzhuang	板状	Plank-shaped	banzhuangP
banzi	板子	Board	banziB
banzou	伴奏	Accompany	banzouA
banzou	搬走	Move Away	banzouM
banzu	班组	Teams and groups (in factories	banzuT
banzuo	扮作	Pretending to be	banzuoP
baoan	保安	Security	baoanS
baoan	报案	Report	baoanR
baoban	包办	To handle	baobanT
baoban	薄板	Lamella	baobanL
baobao	宝宝	Baby	baobaoBab
baobao	包包	Backpack	baobaoBac
baobao	薄薄	Thin	baobaoT
baobei	宝贝	Treasure	baobeiTr
baobei	薄被	Thin covering	baobeiTh
baobi	包庇	Shield	baobiS
baobi	薄壁	Thin Wall	baobiT
baobian	褒贬	Praise and criticism	baobianPr
baobian	包边	Package edge	baobianPa
baobiao	报表	Forms for reporting statistics	baobiaoF
baobiao	保镖	Bodyguard	baobiaoB
baobo	鲍勃	Bob	baoboB
baocai	包菜	Bok Choy	baocaiB
baocang	包藏	Contain	baocangC
baocang	保藏	Keep in store	baocangK
baoceng	薄层	Thin layer	baocengT
baochan	包产	Make a production contract	baochanM
baochang	饱尝	To experience fully	baochangT
baochang	报偿	Repay	baochangR
baochao	包抄	Flank	baochaoF
baoche	包车	Hire a car	baocheH
baochi	保持	Keep	baochiK
baochou	报仇	Take revenge	baochouT
baochou	报酬	Reward	baochouR
baochu	爆出	To burst out	baochuT
baochu	报出	Report	baochuR
baochuan	宝船	Treasure ship	baochuanT
baochuang	刨床	Planer	baochuangP
baocun	保存	Preserve	baocunP
baocuo	报错	Error	baocuoE
baoda	报答	Repay	baodaR
baoda	暴打	To beat up severely	baodaT
baodan	保单	Guarantee slip	baodanG
baodao	报道	Report	baodaoReport
baodao	报到	Report for duty	baodaoReport 
baodao	宝刀	Treasured dagger	baodaoT
baodao	宝岛	Pearl Island	baodaoPe
baodao	刨刀	Planing tool	baodaoPl
baode	抱得	Hold	baodeH
baodi	胞弟	Younger brother	baodiY
baodi	宝地	Precious land	baodiP
baodian	宝典	Compendium	baodianC
baodie	暴跌	Sharp decline	baodieS
baoding	抱定	Hold firmly	baodingH
baoding	保定	Baoding	baodingB
baodong	暴动	Riot	baodongR
baoen	报恩	Pay a debt of gratitude	baoenP
baoer	宝儿	Baoer	baoerB
baoer	保尔	Paul	baoerP
baoer	鲍尔	Paul	baoerP
baofa	爆发	Erupt	baofaE
baofa	暴发	Burst	baofaB
baofei	报废	Scrap	baofeiS
baofeng	包缝	Package stitching	baofengP
baofu	报复	Retaliate	baofuR
baofu	包袱	Burden	baofuB
baofu	抱负	Ambition	baofuA
baofu	包覆	Cover	baofuC
baogang	宝钢	Baosteel	baogangBaos
baogang	包钢	Baogang	baogangBaog
baogao	报告	Report	baogaoR
baogei	包给	Give	baogeiG
baoguan	保管	Keep	baoguanK
baoguan	报关	Declare at customs	baoguanD
baoguang	曝光	Expose	baoguangE
baogui	宝贵	Precious	baoguiP
baoguo	包裹	Package	baoguoPa
baoguo	报国	To serve one's country	baoguoTo s
baoguo	报过	To report	baoguoTo r
baoguo	保国	Preserving the nation	baoguoPr
baohan	包含	Include	baohanI
baohan	饱含	Full of	baohanFu
baohan	包涵	Forgiveness	baohanFo
baohao	包好	Package well	baohaoP
baohe	饱和	Saturated	baoheS
baohe	宝盒	Treasure Box	baoheT
baohen	抱恨	Have a gnawing regret	baohenH
baohou	薄厚	Bohou	baohouB
baohu	保护	Protect	baohuP
baohua	刨花	Wood shavings	baohuaW
baohuo	宝货	Treasure	baohuoT
baoji	宝鸡	Baoji	baojiB
baojia	报价	Quotation	baojiaQ
baojia	保价	Insure	baojiaI
baojia	保甲	county guard	baojiac
baojian	保健	Health care	baojianH
baojian	宝剑	Treasured sword	baojianT
baojian	包间	Room	baojianR
baojiang	褒奖	Praise	baojiangP
baojie	保洁	Cleaning	baojieC
baojin	包紧	Tighten	baojinT
baojing	报警	Call the police	baojingC
baojing	饱经	Weathered	baojingW
baojing	报经	Report for approval	baojingR
baoju	保举	Recommend	baojuR
baoju	包举	Package	baojuP
baojun	暴君	Tyrant	baojunT
baokai	剥开	Peel	baokaiP
baokai	爆开	Burst open	baokaiB
baokan	报刊	Newspaper	baokanN
baokao	报考	Enter for an exam	baokaoE
baoke	薄壳	Thin-shelled	baokeT
baoku	宝库	Treasure house	baokuT
baokuo	包括	Include	baokuoI
baolan	饱览	Admire and survey	baolanA
baole	包了	Covered	baoleC
baolei	堡垒	Fortress	baoleiF
baoli	暴力	Violence	baoliV
baoli	暴利	Exorbitant profit	baoliE
baoli	宝历	Reign of Emperor Bao	baoliR
baolian	暴敛	Excessive collection	baolianE
baoliang	保量	Maintain quantity	baoliangM
baolin	宝林	Precious forest	baolinP
baoliu	保留	Reserve	baoliuR
baolong	暴龙	Tyrannosaurus Rex	baolongT
baolu	暴露	Expose	baoluE
baoluan	暴乱	Riot	baoluanR
baoluo	包罗	Encompassing	baoluoE
baoluo	保罗	Paul	baoluoP
baoma	宝马	Bmw	baomaB
baoman	饱满	Full	baomanF
baoman	爆满	Full	baomanF
baomi	保密	Keep secret	baomiK
baomin	暴民	Mob	baominM
baomin	保民	protect the people	baominp
baoming	报名	Register	baomingR
baoming	保命	To save one's life	baomingT
baomu	保姆	Nanny	baomuN
baonu	暴怒	Rage	baonuR
baonuan	保暖	Keep warm	baonuanK
baonuan	饱暖	Warm and Comfortable	baonuanW
baonve	暴虐	Brutal	baonveB
baopi	报批	Approval	baopiA
baopi	薄皮	Thin-skinned	baopiT
baopian	薄片	Thin slice	baopianT
baopian	苞片	Bract	baopianB
baopiao	包票	Guarantee	baopiaoG
baoping	宝瓶	Bottle	baopingB
baopo	爆破	Detonation	baopoD
baoqi	暴起	Sudden outburst	baoqiS
baoqian	抱歉	Sorry	baoqianS
baoqin	暴秦	Brutal Qin Dynasty	baoqinB
baoqing	报请	Request for report	baoqingR
baoqu	剥去	To strip	baoquT
baoquan	保全	To preserve	baoquanT
baoquan	抱拳	Bow with Hands	baoquanB
baoren	保人	Protect people	baorenP
baorong	包容	Tolerate	baorongT
baoshai	暴晒	Intense sunlight	baoshaiI
baoshan	宝山	Baoshan	baoshanB
baoshang	报上	Report	baoshangR
baoshang	包上	Enclose	baoshangE
baoshe	报社	Newspaper office	baosheN
baoshen	包身	Indenture	baoshenI
baoshi	宝石	Gem	baoshiG
baoshi	保湿	Moisturizing	baoshiM
baoshi	报时	Announce the time	baoshiA
baoshi	饱食	Well-fed	baoshiW
baoshou	保守	Conservative	baoshouC
baoshou	饱受	To suffer greatly	baoshouT
baoshu	报数	Number off	baoshuN
baoshu	宝书	Precious book	baoshuP
baoshui	保水	Hydrated	baoshuiH
baosong	报送	Report	baosongR
baota	宝塔	Pagoda	baotaP
baoting	报亭	Newsstand	baotingN
baotou	包头	Baotou	baotouB
baotou	报头	Masthead (of a newspaper	baotouM
baotou	抱头	To hold one's head	baotouT
baotu	暴徒	Thug	baotuT
baotu	胞吐	Cytosis	baotuC
baotu	包图	Package diagram	baotuP
baotun	胞吞	Phagocytosis	baotunP
baowan	包完	Wrapped up	baowanW
baowei	包围	Surround	baoweiS
baowei	保卫	Defend	baoweiD
baowen	保温	Insulation	baowenI
baowen	报文	Message	baowenM
baowu	宝物	Treasure	baowuT
baoxi	报喜	Bring good news	baoxiB
baoxian	保险	Insurance	baoxianI
baoxian	保鲜	Keep fresh	baoxianK
baoxiao	报销	Reimburse	baoxiaoRei
baoxiao	报效	Render service to repay kindness	baoxiaoRen
baoxiao	报晓	Announce the dawn	baoxiaoA
baoxin	报信	To report news	baoxinT
baoxing	暴行	Atrocious acts	baoxingA
baoxiu	保修	Guarantee	baoxiuG
baoxiu	报修	Repair	baoxiuR
baoxiu	包修	Repair	baoxiuR
baoxue	暴雪	Heavy Snow	baoxueH
baoxue	刨削	Milling	baoxueM
baoyang	保养	Maintain	baoyangM
baoyang	褒扬	Praise	baoyangP
baoyi	报以	With	baoyiW
baoying	报应	Retribution	baoyingR
baoyou	保佑	Bless	baoyouB
baoyou	保有	To retain	baoyouT
baoyou	包有	Enclosed in	baoyouE
baoyu	暴雨	Torrential rain	baoyuT
baoyu	鲍鱼	Abalone	baoyuA
baoyu	宝玉	Bao Yu	baoyuB
baoyu	保育	Child care	baoyuC
baoyuan	抱怨	Complain	baoyuanC
baoyuan	报怨	Resentment	baoyuanR
baoyue	包月	Package rental	baoyueP
baoyun	包孕	Pregnant	baoyunP
baoza	包扎	Bandage	baozaB
baozai	包在	Enclosed	baozaiE
baozang	宝藏	Treasure	baozangT
baozao	暴躁	Irritable	baozaoI
baozha	爆炸	Explode	baozhaE
baozhan	报站	Station announcement	baozhanS
baozhang	保障	Ensure	baozhangE
baozhang	暴涨	Sudden surge	baozhangS
baozhang	报章	Newspaper	baozhangN
baozhang	报账	Accounting	baozhangA
baozhang	保长	Maintaining the lineage	baozhangM
baozhao	爆照	A shocking photo	baozhaoA
baozhe	包着	Wrapped in	baozheW
baozhen	保真	Genuine	baozhenG
baozhen	宝珍	Bao Zhen	baozhenB
baozheng	保证	Guarantee	baozhengG
baozheng	暴政	Tyranny	baozhengT
baozheng	包拯	Bāozhèng	baozhengB
baozhi	报纸	Newspaper	baozhiNe
baozhi	保值	Maintain value	baozhiM
baozhi	保质	Shelf life	baozhiS
baozhi	报知	Notification	baozhiNo
baozhi	薄纸	Tissue	baozhiT
baozhi	胞质	Cytoplasm	baozhiC
baozhong	保重	Take care	baozhongT
baozhong	包中	Inside	baozhongI
baozhu	抱住	Hold	baozhuH
baozhu	保住	To preserve	baozhuTo p
baozhu	爆竹	Firecracker	baozhuF
baozhu	包住	To wrap	baozhuTo w
baozhuang	包装	Package	baozhuangP
baozi	包子	Steamed bun	baoziSt
baozi	孢子	Spore	baoziSp
baozi	刨子	Saw	baoziSa
baozi	报子	News bulletin	baoziN
baozuo	宝座	Throne	baozuoT
bapian	八篇	Eight chapters	bapianE
baqi	八旗	The "Eight Banners"	baqiT
baqi	八七	November 7th Movement	baqiN
baqian	八千	Eight Thousand	baqianE
baqu	拔去	Remove	baquR
baquan	霸权	Hegemony	baquanH
bashan	巴山	Ba Shan	bashanB
bashang	坝上	Upper reaches of the Yellow River	bashangU
bashe	跋涉	To travel on foot	basheT
basheng	八省	Eight Provinces	bashengE
bashi	八十	Eighty	bashiE
bashi	巴士	Bus	bashiBu
bashi	巴氏	Ba Shi	bashiBa
bashi	罢市	Strike	bashiS
bashou	把手	Handle	bashouH
bashou	把守	*To Guard*	bashou*
bashu	巴蜀	Sichuan	bashuS
basong	巴松	Bassoon	basongB
basui	八岁	Eight years old	basuiE
batai	八台	Eight sets	bataiE
bate	巴特	Bart	bateB
batian	八天	Eight days	batianE
batiao	八条	Eight items	batiaoE
batou	把头	To rub one's head	batouT
bawang	霸王	King Yan	bawangK
bawen	跋文	Footprint	bawenF
bawo	把握	Grasp	bawoG
baxi	巴西	Brazil	baxiB
baxi	把戏	Trickery	baxiT
baxia	拔下	To pull out	baxiaT
baxia	八下	Eight	baxiaE
baxian	八仙	Eight Immortals	baxianE
baxiang	八项	Eight Items	baxiangE
baxiang	靶向	Target	baxiangT
baxin	靶心	Target center	baxinT
baxiu	罢休	Give up	baxiuG
baxun	八旬	Eighty	baxunE
baya	拔牙	Tooth extraction	bayaT
baye	霸业	Imperial ambition	bayeI
bayi	八一	Eight One	bayiE
bayu	鲅鱼	Mackerel	bayuM
bayue	八月	August	bayueA
bazhan	霸占	Occupy	bazhanO
bazhang	巴掌	Palm	bazhangP
bazhang	八张	Eight sheets	bazhangE
bazhe	八折	Eight discount	bazheE
bazhi	罢职	Resignation	bazhiR
bazhong	八种	Eight	bazhongE
bazhong	巴中	Bazhou	bazhongB
bazhou	巴州	Bazhou	bazhouB
bazhu	霸主	Dominator	bazhuD
bazhu	把住	Contain	bazhuC
bazi	八字	Eight characters	baziE
bazi	靶子	Target	baziTa
bazi	把子	Handle	baziH
bazi	巴子	Peach	baziP
bazi	坝子	Terrace	baziTe
beiai	悲哀	Sad	beiaiS
beian	备案	Record	beianR
beian	北岸	North bank	beianN
beiban	备办	Assistant	beibanA
beiban	背板	Backboard	beibanB
beibang	被绑	Was bound	beibangW
beibao	背包	Backpack	beibaoB
beibei	杯杯	Cup	beibeiC
beibei	辈辈	Forever	beibeiF
beibi	卑鄙	Mean	beibiM
beibi	杯壁	Cup wall	beibiC
beibian	北边	North	beibianN
beibian	被贬	Demoted	beibianD
beibu	背部	Back	beibuB
beibu	被捕	Arrested	beibuA
beibu	北部	North	beibuN
beican	悲惨	Tragic	beicanT
beican	钡餐	Barium meal	beicanB
beice	北侧	Northern side	beiceN
beice	被测	Measured	beiceM
beice	背侧	Back side	beiceB
beicha	备查	For future reference	beichaF
beichao	北朝	Northern Dynasty	beichaoN
beichen	北辰	Polaris	beichenP
beichou	悲愁	Sorrowful sadness	beichouS
beichu	辈出	To surpass one’s peers	beichuT
beichu	背出	Recite	beichuR
beichu	悲楚	Lamentable	beichuL
beichuang	悲怆	Heartrending	beichuangH
beicui	悲摧	Destroying	beicuiD
beida	北大	Peking University	beidaP
beidai	背带	Braces	beidaiB
beidan	被单	Bed Sheet	beidanB
beidao	被盗	Stolen	beidaoS
beidao	背到	Memorize to the end	beidaoM
beidao	北岛	North Island	beidaoN
beidi	杯底	Bottom of the cup	beidiB
beidong	被动	Passive	beidongP
beidou	北斗	Beidou	beidouB
beiduan	北端	Northern End	beiduanN
beidui	背对	Back to	beiduiB
beier	贝尔	Bell	beierB
beifa	北伐	Northern Expedition	beifaN
beifang	北方	North	beifangN
beifei	北非	North Africa	beifeiN
beifen	备份	Backup	beifenB
beifen	辈分	Generation	beifenG
beifen	悲愤	Anger	beifenA
beifeng	北风	North wind	beifengN
beifeng	背风	Backwind	beifengB
beifu	背负	Bear	beifuB
beifu	被俘	To be captured	beifuT
beigai	杯盖	Cup lid	beigaiC
beigan	倍感	Feel strongly	beiganF
beigao	被告	Defendant	beigaoD
beige	背个	Back	beigeB
beige	悲歌	Lament	beigeL
beigu	北顾	North Look	beiguN
beiguan	悲观	Pessimistic	beiguanP
beiguan	北关	North Gate	beiguanN
beiguang	背光	Be in a poor light	beiguangB
beiguo	北国	Northern countries	beiguoN
beiguo	背过	Memorize	beiguoM
beihai	北海	North Sea	beihaiN
beihai	被害	Victim	beihaiV
beihan	北汉	North Han	beihanNorth H
beihan	北旱	North arid	beihanNorth a
beihao	备好	Prepared	beihaoP
beihe	北河	Běihé	beiheB
beihen	悲恨	Feeling resentment	beihenF
beihou	背后	Behind	beihouB
beihu	北湖	North Lake	beihuN
beihuan	悲欢	Joy and Sorrow	beihuanJ
beihuang	备荒	Prepare against natural disasters	beihuangP
beiji	北极	North Pole	beijiN
beiji	背脊	The back of the human body	beijiT
beiji	背肌	Latissimus Dorsi	beijiL
beijia	倍加	Intensively	beijiaI
beijian	卑贱	Lowly	beijianL
beijiang	北疆	North Borderland	beijiangNorth B
beijiang	北江	North River	beijiangNorth R
beijiao	被叫	Called	beijiaoC
beijiao	北郊	Northern suburbs	beijiaoN
beijie	碑碣	Stone Tablets	beijieS
beijie	北界	North boundary	beijieN
beijin	北进	Northward expansion	beijinN
beijing	北京	Beijing	beijingBe
beijing	背景	Background	beijingBa
beijing	北境	Northern Territory	beijingN
beijing	倍镜	Magnifying glass	beijingM
beijiu	杯酒	Cup of wine	beijiuC
beiju	悲剧	Tragedy	beijuT
beijun	北军	Northern Army	beijunN
beikao	备考	Prepare for exams	beikaoP
beikao	背靠	Back support	beikaoBac
beikao	焙烤	Baking	beikaoBak
beike	贝壳	Shell	beikeSh
beike	备课	Prepare lessons	beikeP
beike	碑刻	Stone Carvings	beikeSt
beike	背壳	Shell	beikeSh
beike	贝克	Baker	beikeB
beikong	被控	Controlled	beikongC
beikou	被扣	To be detained	beikouT
beiku	悲苦	Sorrowful	beikuS
beikun	被困	Trapped	beikunT
beila	贝拉	Beira	beilaB
beilei	贝类	Mollusks	beileiM
beilei	蓓蕾	Bud	beileiB
beili	背离	To betray	beiliT
beili	杯里	In the cup	beiliI
beili	悖理	Contradiction of Reason	beiliC
beiliang	悲凉	Sorrowful	beiliangS
beiliang	北凉	North Liang	beiliangN
beiliang	备粮	To store grain	beiliangT
beiliao	备料	Get the materials ready	beiliaoG
beilie	卑劣	Lowly	beilieL
beilin	碑林	The Forest of Steles	beilinT
beilin	北临	North Facing	beilinN
beiling	北岭	North Ridge	beilingN
beilou	北楼	Northern Tower	beilouN
beilu	北路	North Road	beiluNorth 
beilu	北麓	Northern slope	beiluNorthe
beilun	悖论	Paradox	beilunP
beilun	贝伦	Belen	beilunB
beilv	倍率	Gain	beilvG
beimei	北美	North America	beimeiN
beimen	北门	North Gate	beimenN
beimeng	背盟	Backing an ally	beimengB
beimian	背面	Back	beimianB
beimian	北面	North side	beimianN
beimian	被面	Quilt	beimianQ
beimin	悲悯	Compassion	beiminC
beiming	北冥	Northern Sea	beimingN
beimu	贝母	The bulb of the fritillary	beimuT
beining	贝宁	Benin	beiningB
beiou	北欧	Northern Europe	beiouN
beipai	北派	Northern School	beipaiN
beipan	背叛	Betray	beipanB
beipan	被判	To be sentenced	beipanT
beipan	杯盘	Plates and Cups	beipanP
beiping	北平	Beijing	beipingB
beipo	被迫	Forced	beipoF
beipo	北坡	North slope	beipoN
beiqi	背弃	Betrayal	beiqiB
beiqi	背起	To pick up	beiqiT
beiqi	北齐	North Qi	beiqiN
beiqi	悲泣	Weeping bitterly	beiqiW
beiqi	背鳍	Dorsal Fin	beiqiD
beiqi	悲凄	Sad and mournful	beiqiSa
beiqi	悲戚	Sorrowful and melancholic	beiqiSo
beiqiao	北桥	North Bridge	beiqiaoN
beiqie	被窃	Stolen	beiqieS
beiqie	悲切	Mournful	beiqieM
beiqing	悲情	Sentimental	beiqingS
beiqiu	悲秋	Mournful autumn	beiqiuM
beiqiu	被囚	Imprisoned	beiqiuI
beiqu	北去	Go north	beiquG
beiru	被褥	Bedding	beiruB
beishan	北山	Beishan	beishanB
beishang	悲伤	Sad	beishangS
beishang	背上	On one's back	beishangO
beishang	北上	To go north	beishangT
beishao	焙烧	Roast	beishaoR
beishen	背身	Backing oneself	beishenBac
beishen	碑身	Base of a monument	beishenBas
beishi	背时	When lying on one's back	beishiW
beishi	北市	North City	beishiN
beishou	备受	Be subjected to	beishouB
beishu	倍数	Multiple	beishuMu
beishu	背书	Memorizing Textbooks	beishuMemorizi
beishu	背熟	Memorize thoroughly	beishuMemorize
beishui	杯水	Teaspoon of water	beishuiT
beisi	贝斯	Bass	beisiB
beisong	北宋	Northern Song Dynasty	beisongN
beisong	背诵	Recite	beisongR
beisu	被诉	Suing	beisuS
beita	碑拓	Stone Rubbing	beitaS
beitan	悲叹	Lament	beitanL
beitang	陂塘	Fishpond	beitangF
beitao	被套	Fitted	beitaoF
beiti	悲啼	Crying with sorrow	beitiC
beiting	碑亭	Stele pavilion	beitingS
beitong	悲痛	Grief	beitongG
beitong	北通	Běitōng - Northward passage	beitongB
beitong	悲恸	Mournful	beitongM
beitou	背投	Posterior projection	beitouP
beitu	北图	North map	beituN
beituo	杯托	Saucer	beituoS
beiwang	北望	North View	beiwangN
beiwei	卑微	Humble	beiweiH
beiwei	北纬	North latitude	beiweiNorth 
