生产储备	shengchanchubei
贷款支持	daikuanzhichi
贷款种类	daikuanzhonglei
贷款总额	daikuanzonge
带来冲击	dailaichongji
代理保险	dailibaoxian
代理发行	dailifaxing
代理清算	dailiqingsuan
代理人	dailiren
代理融通	dailirongtong
代理商	dailishang
代理银行	dailiyinhang
代理制	dailizhi
代领人	dailingren
待批文书	daipiwenshu
待评	daiping
代人报价	dairenbaojia
代销	daixiao
代销服务	daixiaofuwu
代销机构	daixiaojigou
代销业务	daixiaoyewu
代征处	daizhengchu
呆滞市场	daizhishichang
担保措施	danbaocuoshi
担保贷款	danbaodaikuan
担保法	danbaofa
担保费	danbaofei
担保付款	danbaofukuan
担保公司	danbaogongsi
担保函	danbaohan
担保机构	danbaojigou
担保金	danbaojin
担保利益	danbaoliyi
担保品	danbaopin
担保人	danbaoren
担保债券	danbaozhaiquan
担保账户	danbaozhanghu
担保资金	danbaozijin
单币	danbi
单币卡	danbika
单笔支出	danbizhichu
单边多头	danbianduotou
单边上扬	danbianshangyang
单边上涨	danbianshangzhang
但不得在	danbudezai
淡仓	dancang
淡出	danchu
单独浮动	dandufudong
单方转移	danfangzhuanyi
单个客户	dangekehu
单据	danju
单据处理	danjuchuli
单利	danli
淡马锡	danmaxi
但目标	danmubiao
单人操作	danrencaozuo
单日上涨	danrishangzhang
但是将来	danshijianglai
单位净值	danweijingzhi
单位税额	danweishuie
但限于	danxianyu
单项投资	danxiangtouzi
单选	danxuan
单一价格	danyijiage
单一期权	danyiqiquan
单证相符	danzhengxiangfu
但最终会	danzuizhonghui
当局债券	dangjuzhaiquan
当年收益	dangnianshouyi
当期	dangqi
当期支付	dangqizhifu
当前面值	dangqianmianzhi
当前市值	dangqianshizhi
当事人	dangshiren
到岸价	daoanjia
导读	daodu
到股市上	daogushishang
到今年	daojinnian
道理论	daolilun
到期	daoqi
到期付款	daoqifukuan
到期利息	daoqilixi
到期清单	daoqiqingdan
到期日	daoqiri
到期未取	daoqiweiqu
到期转期	daoqizhuanqi
道琼斯	daoqiongsi
到去年	daoqunian
盗取现金	daoquxianjin
盗刷	daoshua
倒填日期	daotianriqi
道享银行	daoxiangyinhang
岛形反转	daoxingfanzhuan
盗用	daoyong
到邮局	daoyouju
到账	daozhang
道指	daozhi
导致	daozhi
德邦证券	debangzhengquan
得到更正	dedaogengzheng
得到批准	dedaopizhun
德尔塔	deerta
德国安联	deguoanlian
德国马克	deguomake
德国指数	deguozhishu
德鲁	delu
德商银行	deshangyinhang
德信无线	dexinwuxian
得以确认	deyiqueren
德裕金号	deyujinhao
等材料	dengcailiao
等待机会	dengdaijihui
等待时间	dengdaishijian
等方式	dengfangshi
等候时间	denghoushijian
登记不足	dengjibuzu
等机构	dengjigou
等级较高	dengjijiaogao
登记日	dengjiri
登记受理	dengjishouli
登记手续	dengjishouxu
等价交换	dengjiajiaohuan
等项目	dengxiangmu
等益处	dengyichu
第八条	dibatiao
底部	dibu
底部反击	dibufanji
抵补套利	dibutaoli
底部信号	dibuxinhao
地产板块	dichanbankuai
地产股	dichangu
地产投资	dichantouzi
低成本	dichengben
低得多	dideduo
低点	didian
地点套汇	didiantaohui
第二波	dierbo
第二季度	dierjidu
第二联	dierlian
地方银行	difangyinhang
低估值	diguzhi
低回报	dihuibao
低回报率	dihuibaolv
低价	dijia
低价股	dijiagu
低价进入	dijiajinru
低价销售	dijiaxiaoshou
递减费用	dijianfeiyong
第九城市	dijiuchengshi
低开	dikai
地量	diliang
地量交易	diliangjiaoyi
第六联	diliulian
低迷	dimi
地区投资	diqutouzi
第三波	disanbo
第三季度	disanjidu
第三联	disanlian
第三市场	disanshichang
第四季度	disijidu
第四联	disilian
低位盘整	diweipanzheng
第五联	diwulian
低吸	dixi
低息贷款	dixidaikuan
抵消	dixiao
抵押贷款	diyadaikuan
抵押担保	diyadanbao
抵押合同	diyahetong
抵押金额	diyajine
抵押率	diyalv
抵押物	diyawu
抵押无效	diyawuxiao
抵押协定	diyaxieding
抵押银行	diyayinhang
抵押因子	diyayinzi
抵押债券	diyazhaiquan
抵押证券	diyazhengquan
抵押质押	diyazhiya
抵押资产	diyazichan
递延	diyan
递延费用	diyanfeiyong
递延年金	diyannianjin
递延项	diyanxiang
递延账户	diyanzhanghu
递延资产	diyanzichan
第一波	diyibo
第一财经	diyicaijing
第一创业	diyichuangye
第一股市	diyigushi
第一季度	diyijidu
第一理财	diyilicai
第一联	diyilian
第一证券	diyizhengquan
低于价格	diyujiage
低于预期	diyuyuqi
低质量	dizhiliang
点贷款	diandaikuan
典当行	diandanghang
点后	dianhou
电话拜访	dianhuabaifang
电话申报	dianhuashenbao
电汇	dianhui
电汇汇率	dianhuihuilv
电价改革	dianjiagaige
电价上涨	dianjiashangzhang
电力板块	dianlibankuai
电力股	dianligu
电脑彩票	diannaocaipiao
点数	dianshu
点数图	dianshutu
垫头交易	diantoujiaoyi
点位	dianwei
电子会员	dianzihuiyuan
电子货币	dianzihuobi
电子商务	dianzishangwu
电子银行	dianziyinhang
电子账单	dianzizhangdan
电子转账	dianzizhuanzhang
调查结果	diaochajieguo
调查结束	diaochajieshu
调查业务	diaochayewu
掉期	diaoqi
掉期交易	diaoqijiaoyi
调研	diaoyan
迭创新高	diechuangxingao
跌幅	diefu
跌幅超过	diefuchaoguo
跌幅高达	diefugaoda
跌幅较大	diefujiaoda
跌幅居前	diefujuqian
跌幅为	diefuwei
跌价陷阱	diejiaxianjing
跌破	diepo
跌破底线	diepodixian
跌破关口	diepoguankou
跌破均线	diepojunxian
跌破面值	diepomianzhi
跌入低谷	dierudigu
跌势	dieshi
跌势差	dieshicha
蝶式权证	dieshiquanzheng
跌停板	dietingban
碟型	diexing
碟形期权	diexingqiquan
跌至	diezhi
跌至谷底	diezhigudi
蝶状利差	diezhuanglicha
顶部	dingbu
顶部套牢	dingbutaolao
顶部信号	dingbuxinhao
订单	dingdan
定点	dingdian
顶峰	dingfeng
定价	dingjia
定价成本	dingjiachengben
定价低	dingjiadi
定价发行	dingjiafaxing
定价方式	dingjiafangshi
定价模型	dingjiamoxing
定价偏低	dingjiapiandi
定价水平	dingjiashuiping
定金	dingjin
鼎力支持	dinglizhichi
定期储蓄	dingqichuxu
定期从	dingqicong
定期存款	dingqicunkuan
定期贷款	dingqidaikuan
定期发行	dingqifaxing
定期股票	dingqigupiao
定期汇票	dingqihuipiao
定期向	dingqixiang
定期账户	dingqizhanghu
定税	dingshui
定税公告	dingshuigonggao
定税清册	dingshuiqingce
定投	dingtou
定投额度	dingtouedu
定投业务	dingtouyewu
定向发售	dingxiangfashou
定向央票	dingxiangyangpiao
定向增发	dingxiangzengfa
定性分析	dingxingfenxi
东北银行	dongbeiyinhang
东北证券	dongbeizhengquan
东部账户	dongbuzhanghu
动产	dongchan
动产银行	dongchanyinhang
东方高圣	dongfanggaosheng
东方基金	dongfangjijin
东方集团	dongfangjituan
东方金钰	dongfangjinyu
东方银行	dongfangyinhang
东方证券	dongfangzhengquan
东方智慧	dongfangzhihui
东莞证券	dongguanzhengquan
东海银行	donghaiyinhang
东海证券	donghaizhengquan
东华期货	donghuaqihuo
冻结	dongjie
冻结证券	dongjiezhengquan
冻结资产	dongjiezichan
东京股市	dongjinggushi
东京银行	dongjingyinhang
董秘	dongmi
董事会	dongshihui
董事长	dongshizhang
动态分析	dongtaifenxi
动态挂钩	dongtaiguagou
动态评估	dongtaipinggu
动态研究	dongtaiyanjiu
东吴基金	dongwujijin
东吴证券	dongwuzhengquan
东亚银行	dongyayinhang
动因	dongyin
东银期货	dongyinqihuo
都经历过	doujingliguo
都是空仓	doushikongcang
都是满仓	doushimancang
都有可能	douyoukeneng
杜邦财团	dubangcaituan
毒笔	dubi
赌彩	ducai
督查组	duchazu
独立财产	dulicaichan
独立董事	dulidongshi
独立审计	dulishenji
度量	duliang
赌马	duma
赌球	duqiu
都市股份	dushigufen
毒丸计划	duwanjihua
杜约翰	duyuehan
独资	duzi
独自承担	duzichengdan
短仓	duancang
断点	duandian
断点销售	duandianxiaoshou
短多	duanduo
短期	duanqi
短期波动	duanqibodong
短期存款	duanqicunkuan
短期贷款	duanqidaikuan
短期反弹	duanqifantan
短期国债	duanqiguozhai
短期活动	duanqihuodong
短期豁免	duanqihuomian
短期利率	duanqililv
短期融资	duanqirongzi
短期上攻	duanqishanggong
短期市场	duanqishichang
短期调整	duanqitiaozheng
短期投资	duanqitouzi
短期债务	duanqizhaiwu
短期震荡	duanqizhendang
短期证券	duanqizhengquan
短期资本	duanqiziben
短期走势	duanqizoushi
短缺问题	duanquewenti
短融券	duanrongquan
短线	duanxian
短线反弹	duanxianfantan
短线关注	duanxianguanzhu
短线黑马	duanxianheima
短线机会	duanxianjihui
短线交易	duanxianjiaoyi
短线投资	duanxiantouzi
短线突破	duanxiantupo
短线压力	duanxianyali
短线涨幅	duanxianzhangfu
短线震荡	duanxianzhendang
短线资金	duanxianzijin
短线走势	duanxianzoushi
短信通知	duanxintongzhi
对报表	duibaobiao
对财务	duicaiwu
对冲	duichong
对冲风险	duichongfengxian
对冲基金	duichongjijin
对冲压力	duichongyali
对冲者	duichongzhe
对冲值	duichongzhi
对出口商	duichukoushang
对大盘	duidapan
对赌	duidu
兑付期	duifuqi
对该行	duigaihang
对个人	duigeren
对公存款	duigongcunkuan
对公司	duigongsi
对公业务	duigongyewu
对雇员	duiguyuan
对国家	duiguojia
兑换外汇	duihuanwaihui
对机构	duijigou
堆积效应	duijixiaoying
对价	duijia
对价方案	duijiafangan
对价方式	duijiafangshi
对价支付	duijiazhifu
对进口商	duijinkoushang
对抗通胀	duikangtongzhang
对口单位	duikoudanwei
对媒体	duimeiti
对企业	duiqiye
对敲	duiqiao
对市场	duishichang
对外经济	duiwaijingji
对外贸易	duiwaimaoyi
对外资	duiwaizi
对我行	duiwoxing
对银行	duiyinhang
对应存折	duiyingcunzhe
对应关系	duiyingguanxi
对于投资	duiyutouzi
对于银行	duiyuyinhang
对账单	duizhangdan
对照表	duizhaobiao
多边汇率	duobianhuilv
多边交易	duobianjiaoyi
多翻空	duofankong
多方因素	duofangyinsu
多家机构	duojiajigou
多家银行	duojiayinhang
多空分歧	duokongfenqi
多空力量	duokongliliang
多年以来	duonianyilai
多杀多	duoshaduo
多少股份	duoshaogufen
多数股票	duoshugupiao
多数股权	duoshuguquan
多头	duotou
多头寸	duotoucun
多头对冲	duotouduichong
多头行情	duotouhangqing
多头集团	duotoujituan
多头看跌	duotoukandie
多头利差	duotoulicha
多头头寸	duotoutoucun
多头陷阱	duotouxianjing
多头主力	duotouzhuli
多样化	duoyanghua
多赚	duozhuan
额度	edu
额度不够	edubugou
额度限制	eduxianzhi
恶化程度	ehuachengdu
额外费用	ewaifeiyong
额外供款	ewaigongkuan
二次探底	ercitandi
二等公司	erdenggongsi
二季度	erjidu
二季度末	erjidumo
二级分行	erjifenhang
二级市场	erjishichang
二手房贷	ershoufangdai
二手消息	ershouxiaoxi
二支行	erzhihang
法币	fabi
发表报告	fabiaobaogao
发布实施	fabushishi
法定贬值	fadingbianzhi
法定股本	fadingguben
法定兼并	fadingjianbing
法定升值	fadingshengzhi
发动反攻	fadongfangong
发放贷款	fafangdaikuan
发放工作	fafanggongzuo
发改委	fagaiwei
发货	fahuo
发卡行	fakahang
发卡银行	fakayinhang
罚款率	fakuanlv
法郎区	falangqu
法律部	falvbu
法律实体	falvshiti
发票出库	fapiaochuku
发票代开	fapiaodaikai
发票代码	fapiaodaima
发票副本	fapiaofuben
发票号码	fapiaohaoma
发票核销	fapiaohexiao
发票缴销	fapiaojiaoxiao
发票金额	fapiaojine
发票库存	fapiaokucun
发票库房	fapiaokufang
发票领购	fapiaolinggou
发票名称	fapiaomingcheng
发票入库	fapiaoruku
发票详情	fapiaoxiangqing
发票种类	fapiaozhonglei
发票状态	fapiaozhuangtai
发起人	faqiren
发起设立	faqisheli
法人	faren
法人持股	farenchigu
法人股	farengu
法人配售	farenpeishou
法人银行	farenyinhang
发生变动	fashengbiandong
发生变化	fashengbianhua
发生改变	fashenggaibian
发生逆转	fashengnizhuan
发售股票	fashougupiao
发售柜台	fashouguitai
发送贷报	fasongdaibao
发送借报	fasongjiebao
发新股	faxingu
发行表目	faxingbiaomu
发行成本	faxingchengben
发行承销	faxingchengxiao
发行程序	faxingchengxu
发行对象	faxingduixiang
发行额	faxinge
发行额度	faxingedu
发行方案	faxingfangan
发行方式	faxingfangshi
发行费用	faxingfeiyong
发行风险	faxingfengxian
发行股票	faxinggupiao
发行规模	faxingguimo
发行国债	faxingguozhai
发行环节	faxinghuanjie
发行计划	faxingjihua
发行价	faxingjia
发行价格	faxingjiage
发行金额	faxingjine
发行量	faxingliang
发行期	faxingqi
发行人	faxingren
发行上市	faxingshangshi
发行市场	faxingshichang
发行条件	faxingtiaojian
发行银行	faxingyinhang
发行在外	faxingzaiwai
发行债券	faxingzhaiquan
发行证券	faxingzhengquan
发行制度	faxingzhidu
发行总额	faxingzonge
发展规划	fazhanguihua
发展会员	fazhanhuiyuan
发展机遇	fazhanjiyu
发展阶段	fazhanjieduan
发展经验	fazhanjingyan
发展空间	fazhankongjian
发展前景	fazhanqianjing
发展趋势	fazhanqushi
发展水平	fazhanshuiping
发展速度	fazhansudu
发展研究	fazhanyanjiu
发展银行	fazhanyinhang
发展战略	fazhanzhanlue
发证机关	fazhengjiguan
法制日报	fazhiribao
反对票	fanduipiao
翻番走势	fanfanzoushi
反复操作	fanfucaozuo
反复炒作	fanfuchaozuo
范国英	fanguoying
返还	fanhuan
反馈单	fankuidan
翻两番	fanliangfan
翻三番	fansanfan
帆顺信息	fanshunxinxi
繁琐手续	fansuoshouxu
反弹成果	fantanchengguo
反弹乏力	fantanfali
反弹股	fantangu
反弹压力	fantanyali
反套期	fantaoqi
反投机	fantouji
反托拉斯	fantuolasi
反洗钱	fanxiqian
反洗钱法	fanxiqianfa
反向兼并	fanxiangjianbing
反向收益	fanxiangshouyi
反要约	fanyaoyue
翻一番	fanyifan
繁杂文件	fanzawenjian
反转	fanzhuan
反转市场	fanzhuanshichang
反转形态	fanzhuanxingtai
方差	fangcha
房产投资	fangchantouzi
房贷	fangdai
放贷	fangdai
放贷成本	fangdaichengben
放贷范围	fangdaifanwei
放贷给	fangdaigei
放贷要求	fangdaiyaoqiu
房贷业务	fangdaiyewu
房地产	fangdichan
防范风险	fangfanfengxian
房改房	fanggaifang
放高利贷	fanggaolidai
防洪费	fanghongfei
房价上涨	fangjiashangzhang
房价松动	fangjiasongdong
房价下降	fangjiaxiajiang
防控工作	fangkonggongzuo
房款	fangkuan
放量	fangliang
放量冲上	fangliangchongshang
放量大涨	fangliangdazhang
放量突破	fangliangtupo
放量下跌	fangliangxiadie
放任经济	fangrenjingji
放松管制	fangsongguanzhi
放松银根	fangsongyingen
防伪税控	fangweishuikong
房屋租赁	fangwuzulin
放心赊销	fangxinshexiao
放心投资	fangxintouzi
方正证券	fangzhengzhengquan
非常大	feichangda
非常低	feichangdi
非常多	feichangduo
非常高	feichanggao
非常活跃	feichanghuoyue
非常积极	feichangjiji
非常快	feichangkuai
非常困难	feichangkunnan
非常类似	feichangleisi
非常慢	feichangman
非常明显	feichangmingxian
非常频繁	feichangpinfan
非常强	feichangqiang
非常项目	feichangxiangmu
非常有限	feichangyouxian
非常重要	feichangzhongyao
沸点投资	feidiantouzi
非法敛财	feifaliancai
非法行为	feifaxingwei
非辅导期	feifudaoqi
非公经济	feigongjingji
非理性	feilixing
非流通	feiliutong
非流通股	feiliutonggu
费率	feilv
非买断型	feimaiduanxing
非融资性	feirongzixing
非税收入	feishuishouru
非税证券	feishuizhengquan
非诉讼信	feisusongxin
非现金	feixianjin
飞行股票	feixinggupiao
飞行者	feixingzhe
费用	feiyong
费用部分	feiyongbufen
非正常户	feizhengchanghu
废止	feizhi
废止通货	feizhitonghuo
分别下跌	fenbiexiadie
分次出售	fencichushou
分次择机	fencizeji
份额	fene
份额最大	fenezuida
分发指令	fenfazhiling
纷纷回调	fenfenhuitiao
纷纷跳水	fenfentiaoshui
分管领导	fenguanlingdao
分行制	fenhangzhi
分红	fenhong
分红部	fenhongbu
分红派息	fenhongpaixi
分红要求	fenhongyaoqiu
分户总账	fenhuzongzhang
分化	fenhua
分界点	fenjiedian
分解价值	fenjiejiazhi
分类比较	fenleibijiao
分类股票	fenleigupiao
分类价格	fenleijiage
分立持有	fenlichiyou
分理处	fenlichu
分离债	fenlizhai
分立账户	fenlizhanghu
分裂市场	fenlieshichang
坟墓市场	fenmushichang
分派日	fenpairi
分配方案	fenpeifangan
分配股利	fenpeiguli
分配预案	fenpeiyuan
分批介入	fenpijieru
分期偿还	fenqichanghuan
分期付款	fenqifukuan
分期交易	fenqijiaoyi
分期摊还	fenqitanhuan
分散化	fensanhua
分时线	fenshixian
分数股	fenshugu
分数股份	fenshugufen
分析风险	fenxifengxian
分析人员	fenxirenyuan
分析软件	fenxiruanjian
分析师	fenxishi
分析指出	fenxizhichu
分享收益	fenxiangshouyi
分销商	fenxiaoshang
分销协议	fenxiaoxieyi
分支机构	fenzhijigou
分众传媒	fenzhongchuanmei
封闭期	fengbiqi
蜂巢止损	fengchaozhisun
逢低买入	fengdimairu
封顶	fengding
逢高减仓	fenggaojiancang
逢高卖出	fenggaomaichu
丰厚收益	fenghoushouyi
凤凰财经	fenghuangcaijing
疯挤抬价	fengjitaijia
风控	fengkong
疯狂追捧	fengkuangzhuipeng
疯牛	fengniu
封盘	fengpan
丰荣资讯	fengrongzixun
风头正劲	fengtouzhengjin
风险暴露	fengxianbaolu
风险保障	fengxianbaozhang
风险创投	fengxianchuangtou
风险放大	fengxianfangda
风险防范	fengxianfangfan
风险分散	fengxianfensan
风险更大	fengxiangengda
风险更小	fengxiangengxiao
风险管理	fengxianguanli
风险规避	fengxianguibi
风险极大	fengxianjida
风险极低	fengxianjidi
风险加大	fengxianjiada
风险监控	fengxianjiankong
风险降低	fengxianjiangdi
风险较大	fengxianjiaoda
风险较高	fengxianjiaogao
风险教育	fengxianjiaoyu
风险警示	fengxianjingshi
风险巨大	fengxianjuda
风险可控	fengxiankekong
风险控制	fengxiankongzhi
风险联动	fengxianliandong
风险偏好	fengxianpianhao
风险收益	fengxianshouyi
风险属性	fengxianshuxing
风险套利	fengxiantaoli
风险提示	fengxiantishi
风险投资	fengxiantouzi
风险问题	fengxianwenti
风险系数	fengxianxishu
风险厌恶	fengxianyanwu
风险溢酬	fengxianyichou
风险溢价	fengxianyijia
风险因素	fengxianyinsu
