阿贝聚光镜	abeijuguangjing
板厚变薄旋压	banhoubianbaoxuanya
板厚度	banhoudu
半厚砖	banhouzhuan
半湖状渣	banhuzhuangzha
半环形管	banhuanxingguan
板簧连结螺栓	banhuanglianjieluoshuan
半挥发药皮	banhuifayaopi
板极变压器	banjibianyaqi
板极电势	banjidianshi
板极电位	banjidianwei
板极电渣焊	banjidianzhahan
板机凸轮	banjitulun
板极振荡回路	banjizhendanghuilu
半加感节距	banjiaganjieju
半加减电路	banjiajiandianlu
半减法器	banjianfaqi
板件拉延	banjianlayan
半焦	banjiao
半交叉皮带	banjiaochapidai
半焦化	banjiaohua
板铰链	banjiaolian
半交皮带	banjiaopidai
拌胶器	banjiaoqi
半结	banjie
半结点	banjiedian
半截锭	banjieding
半结合	banjiehe
半结晶	banjiejing
板金工工作	banjingonggongzuo
板金工具	banjingongju
板金零件	banjinlingjian
扳紧器	banjinqi
半金属	banjinshu
半金属粉末	banjinshufenmo
半金属型铸造	banjinshuxingzhuzao
半径倒数	banjingdaoshu
板晶钙磷酸石	banjinggailinsuanshi
半径杆托	banjinggantuo
半径量规	banjinglianggui
半净煤气	banjingmeiqi
板晶石	banjingshi
半晶体	banjingti
半经验方程	banjingyanfangcheng
半经验关系	banjingyanguanxi
半经验计算	banjingyanjisuan
半精轧机	banjingzhaji
半精整机	banjingzhengji
半精制料	banjingzhiliao
半精制螺栓	banjingzhiluoshuan
半精砖坯	banjingzhuanpi
板卷	banjuan
板卷擦伤	banjuancashang
板卷翻转机	banjuanfanzhuanji
板卷轧机	banjuanzhaji
板卷折纹	banjuanzhewen
板卷折印	banjuanzheyin
半开动控制器	bankaidongkongzhiqi
半开角焊接	bankaijiaohanjie
半开正方形	bankaizhengfangxing
半靠背	bankaobei
半可锻铸铁	bankeduanzhutie
半块砖	bankuaizhuan
板框式压滤机	bankuangshiyalvji
半扩散角	bankuosanjiao
半冷模铸造	banlengmozhuzao
半冷硬轧辊	banlengyingzhagun
半离心铸造	banlixinzhuzao
半连续操作	banlianxucaozuo
半连续操作法	banlianxucaozuofa
半连续生产炉	banlianxushengchanlu
半连续式固结	banlianxushigujie
半连续式轧机	banlianxushizhaji
半连续推料	banlianxutuiliao
半连续窑	banlianxuyao
半连续运转	banlianxuyunzhuan
半连续轧钢机	banlianxuzhagangji
半连续轧制	banlianxuzhazhi
半连续铸造机	banlianxuzhuzaoji
半连轧	banlianzha
半联轴节	banlianzhoujie
板梁	banliang
板料磅进	banliaobangjin
板料展开	banliaozhankai
斑鳞	banlin
板菱铀矿	banlingyoukuang
半流动	banliudong
半流态化床	banliutaihuachuang
半龙门起重机	banlongmenqizhongji
板轮	banlun
半螺纹	banluowen
半螺旋钻	banluoxuanzuan
半履带运货车	banlvdaiyunhuoche
半履带载重车	banlvdaizaizhongche
半马弗炉	banmafulu
斑马式炉顶	banmashiluding
半马氏体淬火	banmashiticuihuo
半煤气烧成	banmeiqishaocheng
半密封钢线绳	banmifenggangxiansheng
半面晶体	banmianjingti
半面体类	banmiantilei
半面涂银镜	banmiantuyinjing
半面性晶体	banmianxingjingti
半模	banmo
半模型	banmoxing
半凝顶弯	banningdingwan
扳钮开关	banniukaiguan
半扭折带	banniuzhedai
板坯	banpi
板坯冲裁	banpichongcai
板坯初轧机	banpichuzhaji
板坯打印工	banpidayingong
板坯打印机	banpidayinji
板坯加热炉	banpijiarelu
板坯连铸机	banpilianzhuji
板坯下料	banpixialiao
板坯自动出料	banpizidongchuliao
板片	banpian
半平面	banpingmian
半破坏性检验	banpohuaixingjianyan
半剖面图	banpoumiantu
半铅淬火盘条	banqiancuihuopantiao
板铅铀矿	banqianyoukuang
半球头	banqiutou
半热锻造	banreduanzao
半热加工	banrejiagong
半任意长度	banrenyichangdu
半熔材料	banrongcailiao
半熔锻造	banrongduanzao
半熔焊	banronghan
半熔融灰	banrongronghui
半软钢	banruangang
半商品性合金	banshangpinxinghejin
半烧结状态	banshaojiezhuangtai
半渗透性	banshentouxing
伴生变形	banshengbianxing
半生产炉	banshengchanlu
半生次砖	banshengcizhuan
伴生金属	banshengjinshu
伴生元素	banshengyuansu
伴生杂质	banshengzazhi
板式电除尘器	banshidianchuchenqi
板式电收尘器	banshidianshouchenqi
板式电选机	banshidianxuanji
板式给料机	banshigeiliaoji
板式换热器	banshihuanreqi
板式集尘电极	banshijichendianji
板式积尘电极	banshijichendianji
板式基础	banshijichu
板式冷却器	banshilengqueqi
板式滤网	banshilvwang
板式输送机	banshishusongji
板式阳极	banshiyangji
板式运输机	banshiyunshuji
板式钻模	banshizuanmu
扳手孔	banshoukong
班数	banshu
半竖槽	banshucao
半衰期	banshuaiqi
半双联法	banshuanglianfa
半水合物	banshuihewu
半水煤气	banshuimeiqi
半塑性成型	bansuxingchengxing
拌酸处理	bansuanchuli
拌酸矿石	bansuankuangshi
半酸性耐火砖	bansuanxingnaihuozhuan
半酸性粘土	bansuanxingniantu
板钛矿	bantaikuang
板碳电压损失	bantandianyasunshi
半碳化	bantanhua
板碳间电阻	bantanjiandianzu
半体双晶	bantishuangjing
板条	bantiao
板条马氏体	bantiaomashiti
板条式输送器	bantiaoshishusongqi
板条状马氏体	bantiaozhuangmashiti
斑铜矿	bantongkuang
半透明罩	bantoumingzhao
半透膜	bantoumo
半透气性	bantouqixing
半图解法	bantujiefa
斑脱岩	bantuoyan
半脱氧钢	bantuoyanggang
半椭圆孔型	bantuoyuankongxing
半椭圆立轧边	bantuoyuanliyabian
半椭圆形缺陷	bantuoyuanxingquexian
半椭圆针锉	bantuoyuanzhencuo
半挖半填截面	banwabantianjiemian
半位错	banweicuo
半稳定能级	banwendingnengji
半温度时间	banwendushijian
半无限长锭料	banwuxianchangdingliao
半无烟煤	banwuyanmei
半吸收厚度	banxishouhoudu
半像	banxiang
半写脉冲	banxiemaichong
半芯盒制泥芯	banxinhezhinixin
半型	banxing
板型	banxing
板形	banxing
板型控制	banxingkongzhi
板形控制	banxingkongzhi
半型砂箱	banxingshaxiang
半形性	banxingxing
半选电流	banxuandianliu
半悬吊式炉顶	banxuandiaoshiluding
半悬钢板	banxuangangban
半悬链系	banxuanlianxi
伴旋轮线	banxuanlunxian
半选信号比	banxuanxinhaobi
半旋转体	banxuanzhuanti
板牙	banya
板牙齿轮	banyachilun
板牙架	banyajia
板牙绞手	banyajiaoshou
板牙切丝机	banyaqiesiji
板牙头	banyatou
半烟煤	banyanmei
斑岩铜矿	banyantongkuang
半氧化焙烧	banyanghuabeishao
半氧化矿	banyanghuakuang
半要和构架	banyaohegoujia
半遥控	banyaokong
半液体	banyeti
半阴影	banyinying
半硬	banying
半硬钢	banyinggang
半硬钢板	banyinggangban
半硬线材	banyingxiancai
半硬质粘土	banyingzhiniantu
半永久炉衬	banyongjiuluchen
半永久型铸造	banyongjiuxingzhuzao
半油脂砂	banyouzhisha
半圆槽钢	banyuancaogang
半圆钢	banyuangang
半圆拱	banyuangong
半圆螺栓	banyuanluoshuan
半圆头锤	banyuantouchui
半圆狭板	banyuanxiaban
半圆形集料架	banyuanxingjiliaojia
半圆形聚焦	banyuanxingjujiao
半圆形屋顶	banyuanxingwuding
半圆形压印	banyuanxingyayin
半圆周	banyuanzhou
半圆砖	banyuanzhuan
搬运孔	banyunkong
搬运设备	banyunshebei
搬运箱	banyunxiang
板闸	banzha
半镇静钢	banzhenjinggang
半镇静钢锭	banzhenjinggangding
半镇静钢定	banzhenjinggangding
半镇静钢钢锭	banzhenjingganggangding
半镇静钢熔炼	banzhenjinggangronglian
扳直辊	banzhigun
半值厚度	banzhihoudu
板直机	banzhiji
半致密材料	banzhimicailiao
半值周期	banzhizhouqi
扳直装置	banzhizhuangzhi
半中和	banzhonghe
半中轴	banzhongzhou
半周长	banzhouchang
半轴承	banzhoucheng
半轴承衬套	banzhouchengchentao
半周平均电流	banzhoupingjundianliu
半柱面	banzhumian
斑状淀积	banzhuangdianji
板桩断面	banzhuangduanmian
斑状腐蚀	banzhuangfushi
板状合金	banzhuanghejin
板状核燃料	banzhuangheranliao
板状晶	banzhuangjing
板状矿体	banzhuangkuangti
板桩联系帽梁	banzhuanglianximaoliang
斑状裂纹	banzhuangliewen
瓣状体	banzhuangti
板状锡	banzhuangxi
半锥体	banzhuiti
半自动秤	banzidongcheng
半自动秤量机	banzidongchengliangji
半自动称量机	banzidongchengliangji
半自动电焊机	banzidongdianhanji
半自动焊枪	banzidonghanqiang
半自动弧焊机	banzidonghuhanji
半自动化炉	banzidonghualu
半自动控制	banzidongkongzhi
半自动拖车	banzidongtuoche
半自动压滤机	banzidongyalvji
扳子口	banzikou
半自磨机	banzimoji
半自热熔炼	banzireronglian
半自热熔炼法	banzireronglianfa
板座栓	banzuoshuan
棒材	bangcai
棒材拔制	bangcaibazhi
棒材打号机	bangcaidahaoji
棒材打尖机	bangcaidajianji
棒材倒角机	bangcaidaojiaoji
棒材定尺切割	bangcaidingchiqiege
棒材锻造	bangcaiduanzao
棒材给进机	bangcaigeijinji
棒材剪断机	bangcaijianduanji
棒材矫直机	bangcaijiaozhiji
棒材精整	bangcaijingzheng
棒材拉拔机	bangcailabaji
棒材拉拔模	bangcailabamo
棒材冷却台	bangcailengquetai
棒材料架	bangcailiaojia
棒材切割机	bangcaiqiegeji
棒材弯曲机	bangcaiwanquji
棒材轧尖	bangcaiyajian
棒材轧尖机	bangcaiyajianji
棒材轧机	bangcaizhaji
磅秤	bangcheng
磅秤车	bangchengche
磅秤房	bangchengfang
磅达	bangda
棒钢	banggang
绑接钢丝	bangjiegangsi
磅金银矿	bangjinyinkuang
磅卡	bangka
棒料进给器	bangliaojingeiqi
棒磨	bangmo
棒磨机	bangmoji
棒坯	bangpi
棒坯修整装置	bangpixiuzhengzhuangzhi
棒屏沉淀器	bangpingchendianqi
棒区电阻	bangqudianzu
磅酸钾	bangsuanjia
棒条	bangtiao
棒条筛	bangtiaoshai
棒条振动筛	bangtiaozhendongshai
棒铜	bangtong
蚌线	bangxian
棒形磁石	bangxingcishi
棒形焊料	bangxinghanliao
棒形试样	bangxingshiyang
棒形圆钢	bangxingyuangang
绑扎钢丝	bangzagangsi
棒状敷脂	bangzhuangfuzhi
棒状晶体	bangzhuangjingti
棒状绕组	bangzhuangraozu
保安措施	baoancuoshi
保安技术	baoanjishu
保安矿柱	baoankuangzhu
薄板	baoban
薄板叠	baobandie
薄板叠合	baobandiehe
薄板镀锌设备	baobanduxinshebei
薄板分层	baobanfenceng
薄板分送机	baobanfensongji
薄板分选工	baobanfenxuangong
薄板分选系统	baobanfenxuanxitong
薄板厚度	baobanhoudu
薄板厚度卡规	baobanhoudukagui
薄板加热炉	baobanjiarelu
薄板剪	baobanjian
薄板剪切机	baobanjianqieji
薄板矫平	baobanjiaoping
薄板矫平机	baobanjiaopingji
薄板金属焊接	baobanjinshuhanjie
薄板精整	baobanjingzheng
薄板卷	baobanjuan
薄板库	baobanku
薄板冷轧机	baobanlengzhaji
薄板坯	baobanpi
薄板坯垛放机	baobanpiduofangji
薄板坯加热炉	baobanpijiarelu
薄板坯剪切机	baobanpijianqieji
薄板坯连铸机	baobanpilianzhuji
薄板坯配对	baobanpipeidui
薄板坯轧机	baobanpizhaji
薄板平整	baobanpingzheng
薄板平整机	baobanpingzhengji
薄板起鳞	baobanqilin
薄板热浸镀锌	baobanrejinduxin
薄板伸张法	baobanshenzhangfa
薄板升降台	baobanshengjiangtai
薄板酸洗设备	baobansuanxishebei
薄板锡板	baobanxiban
薄板轧机	baobanzhaji
薄板轧机机组	baobanzhajijizu
薄板轧机机座	baobanzhajijizuo
薄板轧制	baobanzhazhi
薄板折叠	baobanzhedie
薄板折叠机	baobanzhedieji
薄板折印	baobanzheyin
薄板砖	baobanzhuan
薄壁槽钢	baobicaogang
薄壁钢材	baobigangcai
薄壁高炉	baobigaolu
薄壁管	baobiguan
薄壁结构	baobijiegou
薄壁结晶器	baobijiejingqi
薄壁炉衬	baobiluchen
薄壁模	baobimo
薄壁盛料器	baobishengliaoqi
薄壁型材	baobixingcai
薄壁铸件	baobizhujian
报表提要	baobiaotiyao
报表头	baobiaotou
报表周期	baobiaozhouqi
包藏空洞	baocangkongdong
包藏气体	baocangqiti
薄层	baoceng
薄层层析法	baocengcengxifa
包层钢	baocenggang
包层钢丝	baocenggangsi
薄层溶浸	baocengrongjin
包层用青铜	baocengyongqingtong
包缠	baochan
保持触点	baochichudian
刨齿刀	baochidao
保持电流	baochidianliu
保持电路	baochidianlu
保持阀	baochifa
保持符号	baochifuhao
刨齿机	baochiji
保持继电器	baochijidianqi
保持架边框	baochijiabiankuang
保持期间	baochiqijian
保持式	baochishi
保持位置	baochiweizhi
保持线圈	baochixianquan
保持状态	baochizhuangtai
保存指令	baocunzhiling
包底大块砖	baodidakuaizhuan
包镀金属粉末	baodujinshufenmo
包杜拉铝	baodulalv
包镀铝法	baodulvfa
爆堆	baodui
爆堆通风	baoduitongfeng
鲍尔巴尔夫法	baoerbaerfufa
爆发室	baofashi
爆发现象	baofaxianxiang
报废产品	baofeichanpin
报废带卷	baofeidaijuan
报废矿床开采	baofeikuangchuangkaicai
报废零件	baofeilingjian
报废炉次	baofeiluci
报废器材废钢	baofeiqicaifeigang
报废数	baofeishu
报废铸件	baofeizhujian
孢粉体	baofenti
包覆	baofu
包覆不锈钢	baofubuxiugang
包覆材料	baofucailiao
包覆层	baofuceng
包覆层下开裂	baofucengxiakailie
包覆层下裂纹	baofucengxialiewen
包覆粉粒	baofufenli
包覆粉末	baofufenmo
包覆钢	baofugang
包覆挤压	baofujiya
包覆铝	baofulv
包覆铜	baofutong
包覆用金片	baofuyongjinpian
保干器	baoganqi
包钢层压制品	baogangcengyazhipin
包钢丝绳	baogangsisheng
曝光表	baoguangbiao
曝光范围	baoguangfanwei
曝光角	baoguangjiao
刨光接头	baoguangjietou
曝光系数	baoguangxishu
曝光源	baoguangyuan
曝光致模糊	baoguangzhimohu
曝光指数	baoguangzhishu
曝光致雾翳	baoguangzhiwuyi
刨轨机	baoguiji
包裹体	baoguoti
报号线路	baohaoxianlu
饱和层	baoheceng
饱和磁矩	baoheciju
饱和电子枪	baohedianziqiang
饱和负载容量	baohefuzairongliang
饱和甘汞电极	baohegangongdianji
饱和感应	baoheganying
饱和固溶体	baohegurongti
饱和活化	baohehuohua
饱和极限	baohejixian
饱和静电荷	baohejingdianhe
饱和率	baohelv
饱和浓度	baohenongdu
饱和气体	baoheqiti
饱和溶解氧量	baoherongjieyangliang
饱和室	baoheshi
饱和酸	baohesuan
饱和塔	baoheta
饱和铁芯	baohetiexin
饱和铜	baohetong
饱和通量密度	baohetongliangmidu
饱和吸收	baohexishou
饱和陷阱	baohexianjing
饱和因数	baoheyinshu
饱和油	baoheyou
饱和蒸汽表	baohezhengqibiao
饱和重量	baohezhongliang
饱和柱能力	baohezhunengli
饱和组态	baohezutai
爆轰	baohong
爆轰波	baohongbo
保护层	baohuceng
保护衬里	baohuchenli
保护衬砖层	baohuchenzhuanceng
保护处理	baohuchuli
保护电弧焊	baohudianhuhan
保护电极	baohudianji
保护电抗	baohudiankang
保护电抗器	baohudiankangqi
保护垫圈	baohudianquan
保护电位	baohudianwei
保护镀层	baohuduceng
包护封机	baohufengji
保护盖	baohugai
保护盖板	baohugaiban
保护键	baohujian
保护接地	baohujiedi
保护介质	baohujiezhi
保护警报系统	baohujingbaoxitong
保护铠装	baohukaizhuang
保护面层	baohumianceng
保护平台	baohupingtai
保护气氛	baohuqifen
保护气氛设备	baohuqifenshebei
保护气体	baohuqiti
保护气体储罐	baohuqitichuguan
保护气体进口	baohuqitijinkou
保护气体入口	baohuqitirukou
保护气体站	baohuqitizhan
保护润滑脂	baohurunhuazhi
保护设备	baohushebei
保护寿命	baohushouming
保护套管	baohutaoguan
保护涂层	baohutuceng
保护涂料	baohutuliao
保护外壳	baohuwaike
保护外罩	baohuwaizhao
保护网	baohuwang
保护维体	baohuweiti
保护物	baohuwu
保护信号	baohuxinhao
保护性能	baohuxingneng
保护性熔剂	baohuxingrongji
保护性涂饰	baohuxingtushi
保护眼镜	baohuyanjing
保护硬杆焊	baohuyingganhan
保护渣	baohuzha
保护栅栏	baohuzhalan
保护罩	baohuzhao
保护钟	baohuzhong
保护砖	baohuzhuan
保护装置	baohuzhuangzhi
保护作用期限	baohuzuoyongqixian
包甲套	baojiatao
保健机构	baojianjigou
保健事业	baojianshiye
保健项目	baojianxiangmu
包金硬币	baojinyingbi
包晶	baojing
包晶成分	baojingchengfen
报警触点	baojingchudian
包晶点	baojingdian
包晶反应	baojingfanying
报警符	baojingfu
包晶合金	baojinghejin
报警回路	baojinghuilu
报警继电器	baojingjidianqi
包晶粒化	baojinglihua
报警铃	baojingling
包晶平衡	baojingpingheng
包晶平台	baojingpingtai
包晶体	baojingti
包晶温度	baojingwendu
包晶细化	baojingxihua
包晶线	baojingxian
包晶相	baojingxiang
报警压力	baojingyali
包晶转变	baojingzhuanbian
包晶组成	baojingzucheng
包晶组织	baojingzuzhi
包捆整平器	baokunzhengpingqi
鲍兰丁硬度计	baolandingyingduji
爆力	baoli
爆裂强度	baolieqiangdu
爆烈声	baoliesheng
爆裂应力	baolieyingli
爆裂指数	baoliezhishu
保留时间控制	baoliushijiankongzhi
包络曲线	baoluoquxian
包络蜗轮	baoluowolun
包络阈检定器	baoluoyujiandingqi
包铝层板	baolvcengban
包铝产品	baolvchanpin
包铝钢丝	baolvgangsi
包麻钢丝绳	baomagangsisheng
鲍曼硫印	baomanliuyin
鲍曼硫印法	baomanliuyinfa
鲍曼试验	baomanshiyan
爆鸣气	baomingqi
薄膜阀	baomofa
薄膜状急冷	baomozhuangjileng
薄膜状析出	baomozhuangxichu
包内残钢	baoneicangang
包内混合	baoneihunhe
包内脱气法	baoneituoqifa
包内脱氧	baoneituoyang
包内渣瘤	baoneizhaliu
包镍钢板	baoniegangban
包镍铁	baonietie
包镍铜	baonietong
剥皮机床	baopijichuang
包皮线	baopixian
薄片	baopian
薄片黄铜	baopianhuangtong
薄片石棉	baopianshimian
薄片锡	baopianxi
薄片状粉末	baopianzhuangfenmo
爆破	baopo
爆破安全距离	baopoanquanjuli
爆破补偿空间	baopobuchangkongjian
爆破地震防治	baopodizhenfangzhi
爆破飞石	baopofeishi
爆破负载	baopofuzai
爆破公害	baopogonghai
爆破开孔法	baopokaikongfa
爆破力学	baopolixue
爆破漏斗	baopoloudou
爆破炮孔组	baopopaokongzu
爆破数据	baoposhuju
爆破顺序	baoposhunxu
爆破压力	baopoyali
爆破作用半径	baopozuoyongbanjing
爆破作用指数	baopozuoyongzhishu
曝气滴滤池	baoqidilvchi
曝气浮选	baoqifuxuan
曝气浅塘	baoqiqiantang
曝气系数	baoqixishu
曝气装置	baoqizhuangzhi
包铅	baoqian
包铅钢	baoqiangang
包壳	baoqiao
包壳轧制	baoqiaozhazhi
包青铜钢	baoqingtonggang
爆燃	baoran
爆燃喷镀	baoranpendu
爆燃喷涂	baoranpentu
爆燃速度	baoransudu
爆燃性	baoranxing
爆燃压缩压力	baoranyasuoyali
保热	baore
爆热	baore
保热器	baoreqi
爆容	baorong
包砂	baosha
暴晒蒸发	baoshaizhengfa
鲍氏比重计	baoshibizhongji
鲍氏反应	baoshifanying
鲍氏反应曲线	baoshifanyingquxian
包石棉金属	baoshimianjinshu
保湿箱	baoshixiang
爆速	baosu
包塑料钢丝绳	baosuliaogangsisheng
刨台导轨	baotaidaogui
包套	baotao
包套抽真空	baotaochouzhenkong
包套剂压法	baotaojiyafa
爆锑	baoti
薄铁板壳	baotiebanke
包铜钢丝	baotonggangsi
包铜铝	baotonglv
包铜软钢丝	baotongruangangsi
包铜铁粉	baotongtiefen
包围角	baoweijiao
包围组织	baoweizuzhi
保温	baowen
爆温	baowen
保温垫片	baowendianpian
保温段	baowenduan
保温罐	baowenguan
保温加热器	baowenjiareqi
保温炉	baowenlu
保温帽	baowenmao
保温帽干燥	baowenmaoganzao
保温帽加热	baowenmaojiare
保温帽接合处	baowenmaojiehechu
保温帽口	baowenmaokou
保温帽外壳	baowenmaowaike
保温帽砖	baowenmaozhuan
保温期	baowenqi
保温前炉	baowenqianlu
保温时间	baowenshijian
保温水套	baowenshuitao
保温贴片	baowentiepian
保温纸	baowenzhi
保温砖	baowenzhuan
包锡	baoxi
包析	baoxi
包析成分	baoxichengfen
包析点	baoxidian
包析反应	baoxifanying
包析合金	baoxihejin
包析平衡	baoxipingheng
包析体	baoxiti
包析相	baoxixiang
包析转变	baoxizhuanbian
包析组成	baoxizucheng
保险板	baoxianban
保险岔道	baoxianchadao
保险挡	baoxiandang
保险垫片	baoxiandianpian
保险垫图	baoxiandiantu
保险阀	baoxianfa
保险杆角撑板	baoxianganjiaochengban
保险环	baoxianhuan
保险件	baoxianjian
保险开尾销	baoxiankaiweixiao
保险器	baoxianqi
保险器支架	baoxianqizhijia
